@RELATION Untitled

@ATTRIBUTE fLength:	real
@ATTRIBUTE fWidth:	real
@ATTRIBUTE fSize:	real
@ATTRIBUTE fConc:	real
@ATTRIBUTE fConc1:	real
@ATTRIBUTE fAsym:	real
@ATTRIBUTE fM3Long:	real
@ATTRIBUTE fM3Trans:	real
@ATTRIBUTE fAlpha:	real
@ATTRIBUTE fDist:	real
@ATTRIBUTE class:	{g,h}

@DATA
49.7866,26.2582,2.7162,0.2897,0.1486,45.7612,58.3653,-23.4577,42.4042,245.1169,h
16.9162,6.1773,2.4445,0.5735,0.3109,6.7067,15.7504,-4.4211,2.3781,102.6537,h
172.156,77.0426,4.6094,0.0336,0.0176,89.0853,-94.9671,-37.8752,21.1865,188.98,h
27.5972,14.5052,2.7627,0.3938,0.2012,-4.693,-18.1941,-5.3399,10.469,156.264,g
31.4119,22.408,2.9469,0.2915,0.1701,23.0568,-7.4329,5.8207,80.8649,260.658,h
12.4334,12.0458,2.0394,0.6849,0.3516,16.2745,-9.2134,-10.1463,61.71,199.915,g
28.507,15.104,2.7435,0.3628,0.1868,8.672,18.1136,6.4696,0.2314,195.951,h
26.6681,6.9778,2.3424,0.624,0.4314,7.6505,10.4678,-7.5606,1.1053,133.4689,h
27.0224,16.7469,2.6821,0.3555,0.1882,-12.7926,-22.4288,-13.123,0.812,262.182,g
22.5872,0,2.2188,0.7674,0.4199,-3.4438,13.0312,-0.0001,7.7242,193.31,g
28.1559,14.9064,2.549,0.3757,0.1907,12.9578,12.4334,7.1315,25.4801,89.3021,g
23.8449,12.7567,2.4183,0.4771,0.2729,17.534,16.7979,-6.8923,45.306,150.858,g
68.2261,35.264,2.6522,0.4053,0.2372,-48.6004,20.9658,31.5966,54.509,175.194,g
15.8344,11.8559,2.3075,0.6256,0.3276,-1.4905,4.782,-4.4923,46.6386,226.351,g
29.279,16.1532,2.4933,0.4128,0.2381,34.8626,21.0419,-9.7169,12.1098,95.4989,h
234.2468,93.4619,3.8928,0.1689,0.0816,-264.4574,-161.6185,56.2764,59.3618,349.4554,h
21.8269,3.5838,2.1205,0.673,0.3525,7.6221,0.0383,-7.6746,53.6823,81.798,h
57.7769,12.0054,2.9149,0.2725,0.1502,15.2766,29.8793,5.5892,67.687,146.751,h
39.4806,18.9588,2.9687,0.2773,0.1392,-9.235,24.7853,10.3638,10.02,159.242,g
26.2043,12.9114,2.541,0.4201,0.223,12.5341,15.9001,-7.6706,32.021,224.736,g
53.1573,27.5492,2.4735,0.6353,0.395,-36.0954,-47.369,-20.0959,8.79,321.013,g
18.2664,12.4183,2.5126,0.5622,0.3579,-2.3735,9.3134,10.5536,14.708,137.186,g
24.3377,11.0705,2.5977,0.5051,0.2866,-13.5348,-10.3792,5.492,2.8878,145.375,g
