@RELATION Untitled

@ATTRIBUTE fLength:	real
@ATTRIBUTE fWidth:	real
@ATTRIBUTE fSize:	real
@ATTRIBUTE fConc:	real
@ATTRIBUTE fConc1:	real
@ATTRIBUTE fAsym:	real
@ATTRIBUTE fM3Long:	real
@ATTRIBUTE fM3Trans:	real
@ATTRIBUTE fAlpha:	real
@ATTRIBUTE fDist:	real
@ATTRIBUTE class:	{g,h}

@DATA
22.7815,14.9526,2.4362,0.4982,0.2509,-14.2836,-9.3635,13.0939,3.0779,141.562,g
40.6756,15.594,2.7447,0.2772,0.1449,19.6226,9.0297,7.4157,15.426,193.234,g
12.8427,11.3821,2.1255,0.7191,0.4232,-14.9637,8.5891,6.9418,82.4198,183.979,g
77.0262,32.288,3.3502,0.3152,0.1868,-28.6712,-35.9464,-31.4001,0.894,357.044,g
27.5146,11.2114,2.6637,0.4643,0.2687,42.4467,33.0422,-6.398,50.3004,239.8878,h
26.2966,22.833,2.8633,0.3219,0.1979,28.837,16.4686,10.9348,10.619,160.251,g
63.2539,14.85,3.0542,0.3901,0.1964,-87.4398,32.9388,-12.2044,11.2803,302.111,h
207.828,73.897,4.4711,0.0383,0.0199,-151.074,-162.423,-74.2912,89.1486,181.611,h
30.7934,12.3864,2.7131,0.3562,0.1926,42.1548,14.3274,-10.6237,5.0435,207.784,g
49.0571,18.3374,2.4459,0.3478,0.1631,43.3567,31.1661,9.9713,0.025,202.8408,h
28.4877,14.3321,2.6656,0.4147,0.2581,15.7454,13.5712,3.8864,5.1525,145.886,g
22.6959,15.7024,2.4749,0.5528,0.3199,24.0131,13.8633,-13.8479,13.3733,181.641,g
111.715,26.6559,2.8938,0.3946,0.2011,-105.077,65.4384,-19.6078,38.25,260.691,h
27.6855,20.8327,2.4893,0.4246,0.2447,-25.7925,-17.5356,16.6199,37.548,79.6568,g
54.0131,16.1275,2.7252,0.319,0.1724,-18.6467,-29.3298,-8.7327,39.1059,131.0242,h
196.471,33.3466,3.032,0.2387,0.1491,-178.547,-95.24,-29.7092,25.071,171.562,h
30.6744,15.2889,2.7775,0.4846,0.2627,23.4064,18.1141,-8.8896,27.3278,65.2747,h
12.7785,11.5377,2.3149,0.7167,0.4044,15.3587,-8.8447,8.8982,36.4138,169.59,h
25.0221,11.9672,2.4502,0.4468,0.2394,-6.2966,-10.4215,9.639,82.9593,36.6531,g
28.0163,6.6576,2.3118,0.639,0.3439,15.5912,-6.1771,5.1057,21.279,251.667,g
34.9712,21.185,3.1217,0.2372,0.1281,0.0356,22.2313,13.1915,2.16,186.422,g
23.8054,14.5329,2.5641,0.4175,0.2169,9.7391,10.4586,2.8554,39.691,241.274,g
78.709,41.2868,3.587,0.2096,0.1308,-16.8134,58.0471,23.1935,1.3633,343.2,g
28.2166,17.0311,2.6026,0.3695,0.1885,25.7471,-9.524,-13.3947,14.0812,215.501,g
16.0751,10.6462,2.1807,0.8027,0.446,-9.9662,-19.6163,-11.4933,61.6768,214.9457,h
25.8227,18.289,2.8146,0.4015,0.2582,-11.1702,12.9714,-2.6258,3.18,147.781,g
22.4007,12.7727,2.2529,0.5866,0.3436,13.7464,13.6608,9.0781,1.451,163.677,g
154.5643,59.2228,3.2107,0.2196,0.1592,-150.5058,-101.0299,-40.0974,74.0884,359.5927,h
31.3405,14.6515,2.433,0.4649,0.2528,41.2203,-10.4721,-9.8194,3.951,196.813,g
22.4686,6.4046,2.2135,0.7584,0.4312,-23.3507,-12.9473,6.7835,18.2554,165.873,g
25.0535,18.9759,2.6803,0.4154,0.2307,28.5321,14.58,-9.722,27.262,195.287,g
